document-count,cited-by-count,citations-count,h-index,coauthor-count,surname,given-name,faculty,department,gender,affiliation-name
25,77,87,5,10,Tse,Savio S.H.,FICT,DCS,male,Universiti Tunku Abdul Rahman
43,240,275,8,50,Liew,Soung Yue,FICT,DCCT,male,Universiti Tunku Abdul Rahman
45,180,192,7,39,Lau,Phooi Yee,FICT,DCCT,female,Universiti Tunku Abdul Rahman
28,500,518,8,40,Ng,Hui Fuang,FICT,DCS,male,Universiti Tunku Abdul Rahman
27,573,655,13,33,Tan,Hung Khoon,FICT,DCS,male,Universiti Tunku Abdul Rahman
28,95,99,4,34,Ooi,Boonyaik,FICT,DCS,male,Universiti Tunku Abdul Rahman
9,59,68,2,12,Wong,Chee Siang,FICT,DCS,male,Universiti Tunku Abdul Rahman
18,19,23,3,30,Ponnusamy,Vasaki,FICT,DCCT,female,Universiti Tunku Abdul Rahman
6,55,59,3,5,Tou,Jingyi,FICT,DCS,male,Universiti Tunku Abdul Rahman
15,30,38,4,20,Isawasan,Pradeep,FICT,DCS,male,Universiti Tunku Abdul Rahman
7,22,23,3,9,Mok,Kai Ming,FICT,DCCT,male,Universiti Tunku Abdul Rahman
2,20,20,1,4,Yong,Tien Fui,FICT,DIS,male,Universiti Tunku Abdul Rahman
20,61,62,4,23,Amin,Aamir,FICT,DIS,male,Universiti Tunku Abdul Rahman
37,68,121,6,26,Akbar,Rehan,FICT,DIS,male,Universiti Tunku Abdul Rahman
11,36,36,3,23,Khor,Siak Wang,FICT,DIS,male,Universiti Tunku Abdul Rahman
4,1,,1,6,Goh,Hoong Cheng,FICT,DIS,male,Universiti Tunku Abdul Rahman
33,256,270,8,47,Goh,Hock Guan,FICT,DCCT,male,Universiti Tunku Abdul Rahman
11,30,30,3,10,Gan,Ming Lee,FICT,DCCT,male,Universiti Tunku Abdul Rahman
11,21,25,3,25,Annur,Robithoh,FICT,DCCT,female,Universiti Tunku Abdul Rahman
34,71,72,4,46,Rehman,Mobashar,FICT,DIS,male,Universiti Tunku Abdul Rahman
10,37,41,4,14,Sangodiah,Anbuselvan,FICT,DIS,male,Universiti Tunku Abdul Rahman
5,7,7,1,11,Teoh,Shen Khang,FICT,DCCT,male,Universiti Tunku Abdul Rahman
3,4,4,1,10,Lim,Jit Theam,FICT,DIS,male,Universiti Tunku Abdul Rahman
12,24,32,3,10,Choo,Peng Yin,FICT,DIS,male,Universiti Tunku Abdul Rahman
4,14,23,3,9,Phan,Koo Yuen,FICT,DCS,male,Universiti Tunku Abdul Rahman
4,6,6,2,16,Leong,Chun Farn,FICT,DCCT,male,Universiti Tunku Abdul Rahman
4,9,9,2,11,Jalil,Norazira,FICT,DIS,female,Universiti Tunku Abdul Rahman
5,1,,1,7,Chan,Lee Kwun,FICT,DIS,female,Universiti Tunku Abdul Rahman
17,28,28,3,26,Muniandy,Manoranjitham,FICT,DCS,female,Universiti Tunku Abdul Rahman
4,19,19,1,3,Chang,Jing Jing,FICT,DCCT,female,Universiti Tunku Abdul Rahman
9,24,24,2,27,Saw,Seow Hui,FICT,DCS,female,Universiti Tunku Abdul Rahman
5,20,22,3,1,Lee,Chen Kang,FICT,DIS,male,Universiti Tunku Abdul Rahman
4,5,5,1,5,Aun,Yichiet,FICT,DCCT,male,Universiti Tunku Abdul Rahman
5,4,4,1,8,Ismail,Sarerusaenye,LKCFES,DIECS,female,Universiti Tunku Abdul Rahman
5,4,6,1,9,Tan,Joi San,FICT,DCS,female,Universiti Tunku Abdul Rahman
3,14,21,3,7,Lim,Ean Heng,FICT,DIS,male,Universiti Tunku Abdul Rahman
11,107,119,6,13,Lim,Seng Poh,FICT,DCS,male,Universiti Tunku Abdul Rahman
2,2,2,1,3,Ooi,Joo On,FICT,DCCT,male,Universiti Tunku Abdul Rahman
4,7,10,2,7,Ku,Chin Soon,FICT,DCS,male,Universiti Tunku Abdul Rahman
9,20,21,3,9,Lim,Seng Chee,FICT,DIS,male,Universiti Tunku Abdul Rahman
